大項目,単位,元の文章,数値,統一,検索用文章(正規表現を用いることがある),memo,105,1
学力向上に向けた取組,学校,児童の学力について、現状把握と分析を行い、課題を把握しましたか,,s1,現状把握と分析を行い,,1,
学力向上に向けた取組,学校,授業改善の必要性について、共通理解を図りましたか,,s2,授業改善の必要性,2017のみ,1,
学力向上に向けた取組,学校,学校の課題を明確化した上で、目標を重点化しましたか,,s3,学校の課題を明確化,,1,
学力向上に向けた取組,学校,目標達成に向けて、学校の組織的な取組や教職員の具体的な行動が示されていましたか,,s4,学校の組織的な取組や教職員の具体的な行動,,1,
学力向上に向けた取組,学校,他校の取組や研究を参考にしていましたか,,s5,他校の取組や研究を参考にしていましたか,,1,
学力向上に向けた取組,学校,学校の現状・分析・課題等について、教職員の間で話し合う機会を設けましたか,,s6,教職員の間で話し合う機会,,1,
学力向上に向けた取組,学校,校内で教員同士が授業を見合う機会はありましたか,,s7,教員同士が授業を見合う機会,2017のみ,1,
学力向上に向けた取組,学校,県教育委員会（あるいは教育事務所）が学力向上に関して貴校を訪問する回数はどれくらいありましたか（教育事務所が実施している定例の訪問を除きます） ,,s8,県教育委員会.*が学力向上に関して貴校を訪問する回数,2017のみ,1,
学力向上に向けた取組,学校,県教育委員会(あるいは教育事務所)が学力向上に関して貴校を訪問する際に、どのようなことが行われていましたか（教育事務所が実施している定例の訪問を除きます。当てはまるもの全てに回答してください。）,m,s9,県教育委員会.*どのようなことが行われていましたか,2017のみ,1,
学力向上に向けた取組,学校,"市町村教育委員会が学力向上に関して貴校を訪問する回数はどれくらいありましたか
※該当がない場合は0を入力",m,s10,市町村教育委員会が学力向上に関して貴校を訪問する回数,,1,
学力向上に向けた取組,学校,市町村教育委員会が学力向上に関して貴校を訪問する際に、どのようなことが行われていましたか（当てはまるもの全てに回答してください）,m,s11,市町村教育委員会が学力向上に関して貴校を訪問する際に、どのようなことが行われていましたか,,1,
学力向上に向けた取組,学校,教科等を相互に関連付けて思考力・判断力・表現力等を育む指導について、教職員で共通理解を図りましたか,,s12,教科等を相互に関連付けて思考力・判断力・表現力等を育む指導,,1,
教職員の取組,学校,学校の教育目標やその達成に向けた方策について、全教職員の間で共有し、取組に当たっていましたか,,s13,学校の教育目標やその達成に向けた方策について、全教職員の間で共有し、取組に当たっていましたか,,1,
教職員の取組,学校,教職員は，授業研究に意欲を持って取り組んでいましたか,,s14,教職員は，授業研究に意欲を持って取り組んでいましたか,2017のみ,1,
教職員の取組,学校,教職員は、校内外の研修や研究会に参加し、その成果を教育活動に積極的に反映させていましたか,,s15,校内外の研修や研究会に参加,,1,
教職員の取組,学校,教職員と児童は、互いに友好な関係にありましたか,,s16,互いに友好な関係,,1,
教職員の取組,学校,教職員同士が、お互いに助け合う協力的な雰囲気がありましたか,,s17,協力的な雰囲気,,1,
教職員の取組,学校,教職員は、学校の意思決定に積極的に参加していましたか,,s18,学校の意思決定に,,1,
教職員の取組,学校,学級・学年運営の状況や課題を全教職員の間で共有し、学校として組織的に取り組みましたか,,s19,課題を全教職員の間で共有,,1,
教職員の取組,学校,休み時間などの短い時間でも，授業や教育実践に関する話が教員間で交わされていましたか  ,,s20,授業や教育実践に関する話,2017のみ,1,
教職員の取組,学校,児童に対して、自分のよさや成長を実感させるような具体的な活動を行いましたか,,s21,自分のよさや成長を実感,,1,
教職員の取組,学校,児童一人一人の悩みの相談にのるなどの個人面談を年間何回行いましたか（臨時の相談等は除きます）,,s22,一人一人の悩みの相談にのる,,1,
教職員の取組,学校,児童に対して、将来就きたい仕事や夢について考えさせるような具体的な活動を行いましたか,,s23,将来就きたい仕事や夢,,1,
校内研修・委嘱研究の状況,学校,校内研修を年間何回行いましたか,,s24,校内研修を年間何回,,1,
校内研修・委嘱研究の状況,学校,校内研修について、実施した内容を選んでください（複数回答可）,m,s25,校内研修について,,1,
校内研修・委嘱研究の状況,学校,国、県、市町村からの委嘱研究について、研究した内容を選んでください（複数回答可）,m,s26,委嘱研究について,,1,
校内研修・委嘱研究の状況,学校,教科の指導内容や指導方法について、近隣の中学校と教職員の合同研修を年間何回行いましたか,m,s27,近隣の.*と教職員の合同研修,,1,
校内研修・委嘱研究の状況,学校,研究授業（あるテーマに基づいた授業を他者に見てもらい、意見交換したり助言をもらうもの）をどのくらいの教員が行いましたか,m,s28,研究授業.*をどのくらいの教員が行いましたか,2017のみ,1,
管理職の学校の管理・運営,学校,目指す学校像や年度の重点目標等を決めるにあたり、職員会議以外の場で教職員から意見を聴取する機会を設けていましたか,,s29,目指す学校像や年度の重点目標等を決めるにあたり、職員会議以外の場で教職員から意見を聴取する機会を設けていましたか,2017のみ,1,
管理職の学校の管理・運営,学校,教員の授業の様子をどの程度見てまわりましたか,,s30,教員の授業の様子をどの程度見てまわりましたか,2017のみ,1,
管理職の学校の管理・運営,学校,授業改善をするために、教員間で話し合うような働きかけををどの程度行いましたか,,s31,教員間で話し合うような働きかけ,2017のみ,1,
管理職の学校の管理・運営,学校,校外での研修の参加を奨励しましたか,,s32,校外での研修の参加を奨励しましたか,2017のみ,1,
学年の状況,学年,"児童数（２８年５月１日現在）は何人でしたか
※該当がない場合は0を入力",,s33,(児童|生徒)数.*は何人でしたか,,1,
学年の状況,学年,"児童数（２８年５月１日現在）別のクラスを答えてください
※回答肢にあてはまるクラス数をそれぞれ数値で入力してください
　例：２０人以下のクラスが2クラスの場合、2と入力
※該当がない場合は0を入力",,s34,(児童|生徒)数.*別のクラス,特殊回答,1,
学年の状況,学年,日本語指導が必要な児童の人数（２８年５月１日現在）を次から選んでください,,s35,日本語指導が必要な.*の人数,,1,
学年の状況,学年,"就学援助を受けていた児童の人数（２９年３月３１日現在）は何人でしたか
※該当がない場合は0を入力",,s36,就学援助を受けていた.*の人数,,1,
学年の状況,学年,児童は熱意をもって勉強することができていましたか,,s37,熱意をもって勉強,,1,
学年の状況,学年,遅刻,,s38,遅刻,,1,
学年の状況,学年,不登校,,s39,不登校,,1,
学年の状況,学年,学習規律の確保,,s40,学習規律の確保,,1,
学年の状況,学年,暴力行為や児童同士のトラブル,,s41,暴力行為や(児童|生徒)同士のトラブル,,1,
学校の状況,学年,クラスを、どのように決めましたか。,,s100,クラスを、どのように決めましたか(?!.*その他の場合に記入),,1,
学校の状況,学年,クラスを、どのように決めましたか。**その他の場合に記入,,s101,クラスを、どのように決めましたか.*その他の場合に記入,,1,
指導について,学年,学力向上や学習の定着等を目的に取り組んできたことについて、次の事項のうち最も重視して取り組んだものとして、当てはまるものを選んでください,,s42,学力向上や学習の定着,,1,
指導について,学年,長期休業日を利用した補充的な学習サポートを実施しましたか（夏休みや冬休み、春休みなどの長期休業日のうち、補充的な学習サポートを実施した日数の累計について、当てはまるものを選んでください）,,s43,長期休業日を利用した補充的な学習サポートを実施しましたか,,1,
指導について,学年,家庭学習の課題（宿題）を計画的に与えましたか,,s44,家庭学習の課題.*計画的に与え,,1,
指導について,学年,与えた家庭学習の課題（長期休業期間中の課題を除きます）についての評価・指導を計画的に行いましたか,,s45,家庭学習の課題.*評価,,1,
指導について,学年,家庭学習の取組として、調べたり文章を書いたりしてくる課題（宿題）を与えましたか,,s46,家庭学習の取組として、調べたり文章を書いたりしてくる課題,,1,
指導について,学年,家庭学習の取組として、家庭での学習方法等を具体的な例を挙げながら教えましたか,,s47,家庭学習の取組として、家庭での学習方法等を具体的な例,,1,
指導について,学年,基礎的・基本的な知識及び技能の習得の授業について、次の事項のうち特に重視して取り組んだものとして、当てはまるものを３つまで選んでください,,s48,基礎的・基本的な知識及び技能の習得の授業,,1,
指導について,学年,習得した知識・技能を活用して課題を解決するために必要な思考力・判断力・表現力等の育成の授業について、次の事項のうち特に重視して取り組んだものとして、当てはまるものを３つまで選んでください,,s49,習得した知識・技能を活用して課題を解決,,1,
科目の指導,学年科目,習熟の遅い児童に対して、学習内容が習得できるよう、少人数による指導を年間どのくらい計画的に取り入れましたか,,s50,習熟の遅い.*に対して,,1,
科目の指導,学年科目,習熟の早い児童に対して、少人数による指導を行い、発展的な内容を扱った指導を計画的に取り入れましたか,,s51,習熟の早い.*に対して,,1,
科目の指導,学年科目,"習熟度に応じた少人数指導を行うときの学習集団（いわゆる習熟度別グループ）の児童数は何人ですか（最も人数が少ない学習集団の人数を答えてください）
※該当がない場合は0を入力",m,s52,習熟度に応じた少人数指導,,1,
科目の指導,学年科目,学級内でグループ活動（ペア活動を除く）を行うときのグループの人数を選んでください,m,s53,学級内でグループ活動,,1,
科目の指導,学年科目,ティーム・ティーチングによる指導を取り入れましたか,,s54,ティーム・ティーチングによる指導を取り入れましたか,,1,
科目の指導,学年科目,補充的な学習の指導を計画的に取り入れましたか,,s55,補充的な学習の指導,,1,
科目の指導,学年科目,発展的な学習の指導を計画的に取り入れましたか,,s56,発展的な学習の指導,,1,
科目の指導,学年科目,学習規律（私語をしない、話をしている人の方を向いて聞く、聞き手に向かって話をする、授業開始のチャイムを守るなど）を維持する指導を行っていましたか,,s57,学習規律.*を維持する指導,,1,
科目の指導,学年科目,学習方法（ノートの取り方、間違ったところを振り返って学習すること、目標・計画の立て方、自分をやる気にする方法など）に関する指導を行っていましたか,,s58,学習方法.*に関する指導,,1,
科目の指導,学年科目,授業の課題解決の場面では、意欲的に取り組んでいる児童の割合はどのくらいであることが多かったですか,,s59,意欲的に取り組んでいる(児童|生徒)の割合,,1,
科目の指導,学年科目,ワークシートや資料、模型などの具体物を使って、児童の様々な考えを引き出すための指導の工夫を行っていましたか,,s60,ワークシートや資料、模型,,1,
科目の指導,学年科目,児童に理由を付けて考えを発表させたり、書かせたりする指導を行っていましたか,,s61,(国語|算数|数学)の指導.*(児童|生徒)に理由を付けて考えを発表させたり,,1,
科目の指導,学年科目,授業のまとめの場面では、次の授業につながる新たな問いや疑問、次の授業で調べたいことを児童に書かせましたか,,s62,授業のまとめの場面,,1,
科目の指導,学年科目,授業や単元（小単元）のまとめの場面では、学習した内容をどのように活用できるかを児童に書かせましたか,,s63,授業や単元（小単元）のまとめの場面,,1,
科目の指導,学年科目,上記No６２，６３の場面で、ノートやプリントに書かせた児童の考えを教師が確認していましたか,,s64,ノートやプリントに書かせた,,1,
科目の指導,学年科目,授業の中でドリルなどを使った練習問題を行っていましたか,,s65,(国語|算数|数学)の指導.*(ドリル|問題集|ワーク)などを使った練習問題,,1,
科目の指導,学年科目,グループで活動する場面では、一部の児童の考えだけでなく、全ての児童が考えを出し合って課題を解決していましたか,,s66,全ての(児童|生徒)が考えを出し合って,,1,
科目の指導,学年科目,授業ごとに学習の目標（めあて）を示した後に、児童自ら解決の方法を考えさせる発問をしていましたか,,s67,自ら解決の方法を考えさせる,,1,
科目の指導,学年科目,グループで活動する場面では、教師の予想以上に児童の考えが広がったり深まったりして、時間が足りなくなったことがありましたか,,s68,教師の予想以上に(児童|生徒)の考えが広がったり,,1,
科目の指導,学年科目,授業の課題解決の場面では、児童同士が互いの考えを比較検討しながら、他の児童の考えを取り入れて解決させるよう努めていましたか,,s69,他の.*の考えを取り入れて,,1,
科目の指導,学年科目,思考を深める板書（授業の全体像と思考の流れが分かる、振り返りができるなど）を行っていましたか,,s70,思考を深める板書,,1,
英語の指導,学年科目,少人数による指導を計画的に取り入れましたか,,s71,(英語の指導について).*少人数による指導を計画的に取り入れましたか,,1,
英語の指導,学年科目,"少人数指導を行うときの学習集団の生徒数は何人ですか（最も人数が少ない学習集団の人数を答えてください）
※該当がない場合は0を入力",,s72,少人数指導を行うときの学習集団の生徒数は何人ですか,,1,
英語の指導,学年科目,ＡＬＴや日本人の支援員等とのティーム・ティーチング（日本人の教師同士も含む）による指導を取り入れましたか,,s73,ＡＬＴや日本人の支援員等とのティーム・ティーチング（日本人の教師同士も含む）による指導を取り入れましたか,,1,
英語の指導,学年科目,学習規律（私語をしない、話をしている人の方を向いて聞く、聞き手に向かって話をする、授業開始のチャイムを守るなど）を維持する指導をしていますか,,s74,廃止廃止廃止（全く同じタイトルの科目の指導がある）,,1,
英語の指導,学年科目,生徒に理由を付けて考えを発表させたり、書かせたりする指導を行っていましたか,,s75,英語の指導.*(児童|生徒)に理由を付けて考えを発表させたり、書かせたりする指導を行っていましたか,,1,
英語の指導,学年科目,授業の中でワークなどを使った練習問題を行っていましたか,,s76,英語の指導.*授業の中でワークなどを使った練習問題を行っていましたか,,1,
英語の指導,学年科目,自分の気持ちや考えなどを、友達等と英語で伝え合うなどのコミュニケーション活動を行っていましたか,,s77,自分の気持ちや考えなどを、友達等と英語で伝え合うなどのコミュニケーション活動を行っていましたか,,1,
英語の指導,学年科目,自分の気持ちや考えなどを、まとまりのある英語で話したり書いたりして表現させる活動を行っていましたか,,s78,自分の気持ちや考えなどを、まとまりのある英語で話したり書いたりして表現させる活動を行っていましたか,,1,
英語の指導,学年科目,まとまりのある英文を聞いたり読んだりして、概要や要点を適切につかませる活動を行っていましたか,,s79,まとまりのある英文を聞いたり読んだりして、概要や要点を適切につかませる活動を行っていましたか,,1,
英語の指導,学年科目,映像資料や音声教材などのICT機器やALTなどを活用して、コミュニケーション活動の活性化につなげる工夫を行っていましたか,,s80,映像資料や音声教材などのICT機器やALTなどを活用して、コミュニケーション活動の活性化につなげる工夫を行っていましたか,,1,
英語の指導,学年科目,授業における、英語担当教員の英語の使用状況について、英語による発話をどのくらい行っていましたか,,s81,授業における、英語担当教員の英語の使用状況について、英語による発話をどのくらい行っていましたか,,1,
英語の指導,学年科目,「英語を使って何ができるようになるか」という観点から設定した学習到達目標（Can-Doリスト）を意識して、授業を行った割合はどれくらいですか,,s82,「英語を使って何ができるようになるか」という観点から設定した学習到達目標（Can-Doリスト）を意識して、授業を行った割合はどれくらいですか,,1,
英語の指導,学年科目,既習の言語材料を生徒に繰り返し使わせることで定着を図っていましたか,,s83,既習の言語材料を生徒に繰り返し使わせることで定着を図っていましたか,,1,
英語の指導,学年科目,英語を使って、課題を解決するような活動を行っていましたか,,s84,英語を使って、課題を解決するような活動を行っていましたか,,1,
保護者等への働きかけ,学校,ＰＴＡや地域の人が学校の諸活動にボランティアとして参加してくれましたか,,s85,ボランティアとして参加,,1,
保護者等への働きかけ,学校,保護者や地域の人の学校を支援する活動は、学校の教育水準の向上に効果がありましたか,,s86,保護者や地域の人の学校を支援する活動,,1,
保護者等への働きかけ,学校,"学校の教育活動を保護者や地域の人にどのような方法で公開していますか
（複数回答可）",,s87,どのような方法で公開,,1,
保護者等への働きかけ,学校,保護者への働きかけとして取り組んだことのうち、次の事項のうち最も重視して取り組んだものとして、当てはまるものを３つまで選んでください,,s88,保護者への働きかけとして取り組んだ,,1,
活用状況,学校,調査結果を、前年度の学級に並び替えた（市町村教委が並び替えを行い、その結果を提供された場合も含む）。　　,,s89,前年度の学級に並び替えた,,1,
活用状況,学校,並び替えた調査結果を基に、学力や非認知能力、学習方略を大きく伸ばした前年度の学級担任や教科担任を把握した。,,s90,学級担任や教科担任を把握,,1,
活用状況,学校,授業改善のためのきっかけの一つとして、前年度の各学級に並び替えた結果を、前年度のそれぞれの学級担任または教科担任に伝えた。,,s91,それぞれの学級担任または教科担任に伝えた,,1,
活用状況,学校,前年度の各学級に並び替えた結果を、前年度の学級担任や教科担任のうち、学力や非認知能力、学習方略を大きく伸ばした教員にのみ伝えた。,,s92,大きく伸ばした教員にのみ伝えた,,1,
活用状況,学校,学力や非認知能力、学習方略を大きく伸ばした教員から、伸ばした要因等について把握するための聞き取りなどを行い、その結果を全教員で共有した。,,s93,結果を全教員で共有,,1,
活用状況,学校,共有した内容を基に、全教員で話し合うなどの研修を行った。,,s94,全教員で話し合うなどの研修,,1,
活用状況,学校,共有した内容が、具体的な授業改善に活かされた。,,s95,具体的な授業改善,,1,
「復習シート」の活用状況,学校,授業中に、学習内容の定着を見届けるために使った。,,s96,学習内容の定着を見届ける,,1,
「復習シート」の活用状況,学校,朝学習や放課後の補習などで使った。,,s97,朝学習や放課後の補習,,1,
「復習シート」の活用状況,学校,家庭学習用の課題（宿題）として使った。,,s98,家庭学習用の課題,,1,
学校の状況,学校,３０年度の全校児童数（調査日現在）,,s99,全校(児童|生徒)数,,1,
学校の状況,学校,次の教科等の年間実施授業時数を入力してください,,s102,年間実施授業時数,,1,
学校の状況,学校,いわゆる教科担任制を実施した教科にチェックしてください,,s103,いわゆる教科担任制を実施,,1,
学校の状況,学校,クラス替えは、毎年実施していますか,,s104,クラス替えは、毎年実施していますか(?!.*その他の場合に記入),,1,
学校の状況,学校,クラス替えは、毎年実施していますか。**その他の場合に記入,,s105,クラス替えは、毎年実施していますか.*その他の場合に記入,,1,
